sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,population
0.0478579065443871,0.010661127067910982,-0.04895292628779499,-0.012560541731496696,-0.1647078594436467,-0.0673069763123882
0.2034820404401684,0.08310987514591947,0.055585469271320145,-0.006674191003109933,0.15953246991214617,0.18592900623427958
0.1926336925973166,0.07253317361715142,0.03885747048358263,-0.006216867613094451,0.17165090158554105,0.23189034307466005
0.09953876814778069,0.035716253480930174,0.03202809875480325,-0.019723295724911653,-0.21462653834467252,-0.08407056219946173
0.09606014986595247,0.03095941725605087,-0.11004339800325973,-0.018274697086470636,-0.06052603253368445,-0.05339767005514965
0.18135870255616976,0.08986613333502949,0.03796527078643612,-0.0070480954686228375,0.15987636047485007,0.2256730549040074
0.1316362913341289,0.09904568087708003,-0.009704373067422353,-0.006157076564381149,0.16921292747645614,0.24096575591181066
0.1292798812410835,0.09566474556598144,-0.00977484103113757,-0.007410810495152368,0.15585353496434778,0.2537340647492917
0.10203096502760903,0.06852898205123309,-0.005712096444139068,-0.010396581436377056,0.043416777409973885,0.011922849991932407
0.12261174644666172,0.012158305856219366,-0.008400879269235353,-0.025050044815586456,-0.30404837387011824,0.14571162032516494
0.07188624638526994,0.06276164960817722,-0.14216156706720662,-0.015100926280759737,0.06530791193246335,0.0410611377991894
0.0649946164563578,0.025543314197921167,-0.013856741478850463,-0.015784559397060527,-0.2226103109710189,-0.07615780814161276
0.022748955930298628,0.020375637758884263,-0.055324393446272824,-0.01326347522790858,-0.1607128598616585,-0.06783554897776088
0.051655639192421096,0.01829180624487966,-0.04119505348184879,-0.015883359389721945,-0.19605093315958086,-0.06636487907437466
-0.036072608372163376,0.02055232258582128,-0.032382237966301915,-0.00949059865168481,-0.13448203530135788,-0.06530834087319214
-0.0791820693888936,0.031963331395495585,-0.006484727209613717,-0.009387703328098027,-0.1301020674706484,-0.0659669971951597
0.10310218709619534,-0.0036524197537464074,0.03524097520252828,-0.02703587343409834,-0.3237343374374062,0.12764988595762736
-0.08189089751414261,0.018851139063849286,-0.0020861909894827457,-0.009470961645341577,-0.11997507706367609,-0.060000943460822666
-0.07594587654155616,0.029516947330938924,-0.04518215242951109,-0.011953174094253933,-0.08518915994107155,-0.0587480873627339
-0.08399391101850172,0.026083369388334603,0.013945744815478027,-0.00920207119486432,-0.13676483425439903,-0.06555152955270338
-0.08013620960277762,-0.04815254829560641,0.01063553235408021,-0.004090033089488385,-0.0880550845173501,-0.05445706852261151
-0.06834084977140127,0.025635184416410536,-0.037839275283519685,-0.010173682684304422,-0.10778119812353644,-0.05737027133542619
-0.0863895330980596,-0.013439127502912792,0.035738061448865384,-0.007167906534752459,-0.10814267289903771,-0.05867090951919469
-0.07456629664568969,-0.009748375773833164,-0.035902832703769226,-0.009411783473201362,-0.07021733371791695,-0.05888197307586957
-0.07741803670298808,0.034874199229356036,-0.012480695862179484,-0.009714939643991562,-0.06791787245654936,-0.04420951176385485
0.06999433514897649,0.042227631487554096,-0.1262465047504501,-0.017761048202158704,0.0474862359601172,-0.015568708189272525
0.15531549637197675,0.06634826480543328,0.08248862513002013,-0.006696490100441119,0.11188343203537651,-0.06848637617864421
0.15896934966027762,0.063957368465944,0.027163947255802262,-0.015499049531478563,-0.11565235346800239,0.24820437924260483
0.03165487244748978,0.02157717730640714,-0.07891518067296924,-0.020901825769723267,-0.17281583776263032,-0.0067050204187611515
0.06432078163774292,0.04852922673960794,-0.037996714458887845,-0.015602883512264522,-0.2147229616489505,-0.050136144823227445
0.17100176230444783,0.1317604477665943,0.02429469550408681,0.0006384783681650702,0.18698472813607764,-0.032723551382769576
0.2017307795523776,0.08357693638052581,0.039444799612202965,-0.00858703854630364,0.152467817950343,0.210541624925623
0.1927651827537883,0.07234600222047864,0.03928514230886216,-0.010088110409373349,0.1581555143909566,0.13804825897622927
0.05077443864176718,0.06390586778080833,-0.054105722194128146,-0.010647638171319087,-0.15725036264855044,-0.08218054100267508
0.07051952522190648,0.04526765349627244,-0.013030761887426936,-0.016468938174212678,-0.2284520982634888,-0.07437374693223503
0.194697778097428,0.07696026196359043,-0.010312427822108259,-0.01022728449320504,0.1342509503018199,0.12824036254965848
