state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population,sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,sub_centres_per_100k_norm,phcs_per_100k_norm,chcs_per_100k_norm,sub_divisional_hospital_per_100k_norm,district_hospital_per_100k_norm,D_HAI_v1,underserved,district_id,underserved_next_year,year_num,next_year_num,is_consecutive
Maharashtra,Wardha,181,32,8,2,1,2020-21,Wardha,504.0,exact,1300774.0,13.91479226983319,2.4600737714622216,0.6150184428655554,0.15375461071638885,0.07687730535819443,0.39367432115691997,0.2776941327586392,0.37455685475095457,0.07242136861079121,0.3367064532347664,0.29101062610241424,0,504.0,0,2020,,False
Maharashtra,Nagpur,316,95,12,2,1,2019-20,Nagpur,505.0,exact,4653570.0,6.790485584185904,2.041443450941965,0.2578665411716166,0.042977756861936105,0.021488878430968052,0.19211496304373385,0.22308038501613095,0.15704517763195294,0.02024334722231176,0.09411677486316956,0.13732012955545983,1,505.0,1,2019,2020.0,True
Maharashtra,Nagpur,316,84,10,2,0,2020-21,Nagpur,505.0,exact,4653570.0,6.790485584185904,1.8050657882013164,0.21488878430968053,0.042977756861936105,0.0,0.19211496304373385,0.19224298645207535,0.1308709813599608,0.02024334722231176,0.0,0.10709445561561637,1,505.0,1,2020,,False
Maharashtra,Bhandara,193,35,7,2,1,2019-20,Bhandara,506.0,exact,1200334.0,16.078858051175757,2.915855087000785,0.583171017400157,0.16662029068575915,0.08331014534287957,0.45489960651428213,0.33715453152200875,0.35516122255063254,0.07848135046856404,0.3648809414712905,0.3181155305053556,0,506.0,0,2019,2020.0,True
Maharashtra,Bhandara,193,34,7,2,1,2020-21,Bhandara,506.0,exact,1200334.0,16.078858051175757,2.8325449416579054,0.583171017400157,0.16662029068575915,0.08331014534287957,0.45489960651428213,0.3262860419761648,0.35516122255063254,0.07848135046856404,0.3648809414712905,0.3159418325961868,0,506.0,0,2020,,False
Maharashtra,Gondiya,258,41,10,1,0,2019-20,Gondia,507.0,fuzzy,1322507.0,19.50840335816748,3.10017262668553,0.7561396650452512,0.07561396650452512,0.0,0.5519275674371262,0.36120026142602635,0.4605021166067724,0.03561562749132267,0.0,0.28184911459224954,0,507.0,0,2019,2020.0,True
Maharashtra,Gondia,258,41,10,1,0,2020-21,Gondia,507.0,exact,1322507.0,19.50840335816748,3.10017262668553,0.7561396650452512,0.07561396650452512,0.0,0.5519275674371262,0.36120026142602635,0.4605021166067724,0.03561562749132267,0.0,0.28184911459224954,0,507.0,0,2020,,False
Maharashtra,Gadchiroli,376,48,9,3,2,2019-20,Gadchiroli,508.0,exact,1072942.0,35.043832751444164,4.473680776780105,0.8388151456462697,0.27960504854875656,0.18640336569917107,0.9914526068111258,0.5403856284542004,0.5108529123238212,0.1316993369632282,0.8164075970555725,0.5981596163215896,0,508.0,0,2019,2020.0,True
Maharashtra,Gadchiroli,376,48,9,3,1,2020-21,Gadchiroli,508.0,exact,1072942.0,35.043832751444164,4.473680776780105,0.8388151456462697,0.27960504854875656,0.09320168284958553,0.9914526068111258,0.5403856284542004,0.5108529123238212,0.1316993369632282,0.40820379852778627,0.5165188566160325,0,508.0,0,2020,,False
Maharashtra,Chandrapur,339,67,10,3,0,2019-20,Chandrapur,509.0,exact,2204307.0,15.37898305453823,3.0395040255282044,0.4536573172430156,0.13609719517290467,0.0,0.4350988930826268,0.3532855464207221,0.2762851421001125,0.06410438745601225,0.0,0.22575479381189473,0,509.0,0,2019,2020.0,True
Maharashtra,Chandrapur,339,67,10,3,0,2020-21,Chandrapur,509.0,exact,2204307.0,15.37898305453823,3.0395040255282044,0.4536573172430156,0.13609719517290467,0.0,0.4350988930826268,0.3532855464207221,0.2762851421001125,0.06410438745601225,0.0,0.22575479381189473,0,509.0,0,2020,,False
Maharashtra,Yavatmal,444,69,14,3,0,2019-20,Yavatmal,510.0,exact,2772348.0,16.015305437845466,2.4888650342597685,0.5049871084005327,0.10821152322868557,0.0,0.45310158959635866,0.28145018836793995,0.3075458715205241,0.05096970149490612,0.0,0.21861347019594576,0,510.0,0,2019,2020.0,True
Maharashtra,Yavatmal,444,69,14,3,0,2020-21,Yavatmal,510.0,exact,2772348.0,16.015305437845466,2.4888650342597685,0.5049871084005327,0.10821152322868557,0.0,0.45310158959635866,0.28145018836793995,0.3075458715205241,0.05096970149490612,0.0,0.21861347019594576,0,510.0,0,2020,,False
Maharashtra,Nanded,379,80,13,4,2,2019-20,Nanded,511.0,exact,3361292.0,11.275426234912052,2.3800371999814356,0.38675604499698335,0.11900185999907177,0.059500929999535886,0.31900194287536715,0.2672527076855708,0.23554111173484918,0.05605215692854612,0.26060157820266727,0.2276898994854001,0,511.0,1,2019,2020.0,True
Maharashtra,Nanded,379,76,13,4,1,2020-21,Nanded,511.0,exact,3361292.0,11.275426234912052,2.2610353399823637,0.38675604499698335,0.11900185999907177,0.029750464999767943,0.31900194287536715,0.25172794217216565,0.23554111173484918,0.05605215692854612,0.13030078910133364,0.19852478856245237,1,511.0,1,2020,,False
Maharashtra,Hingoli,132,27,3,2,2,2019-20,Hingoli,512.0,exact,1177345.0,11.211666928555351,2.293295508113595,0.2548106120126216,0.16987374134174774,0.16987374134174774,0.31719807824263185,0.2559365448416054,0.15518406398989407,0.0800137880853389,0.7440113135911733,0.3104687577501287,0,512.0,0,2019,2020.0,True
Maharashtra,Hingoli,132,27,3,2,1,2020-21,Hingoli,512.0,exact,1177345.0,11.211666928555351,2.293295508113595,0.2548106120126216,0.16987374134174774,0.08493687067087387,0.31719807824263185,0.2559365448416054,0.15518406398989407,0.0800137880853389,0.37200565679558667,0.23606762639101136,0,512.0,0,2020,,False
Maharashtra,Parbhani,214,38,6,2,2,2019-20,Parbhani,513.0,exact,1836086.0,11.655227478451446,2.069619832622219,0.32678207883508725,0.10892735961169575,0.10892735961169575,0.3297471982716029,0.22675622435684004,0.19901593042829346,0.05130687415150126,0.47707896035370895,0.25678103751238934,0,513.0,0,2019,2020.0,True
