state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year,lgd_matched_name,district_census2011_code,match_type,population,sub_centres_per_100k,phcs_per_100k,chcs_per_100k,sub_divisional_hospital_per_100k,district_hospital_per_100k,sub_centres_per_100k_norm,phcs_per_100k_norm,chcs_per_100k_norm,sub_divisional_hospital_per_100k_norm,district_hospital_per_100k_norm,D_HAI_v1
Rajasthan,Churu,436,102,16,2,1,2019-20,Churu,102.0,exact,2039547.0,21.377296036816016,5.001110540723014,0.7844879279565512,0.0980609909945689,0.04903049549728445,0.604801878624448,0.6091931530598503,0.47776669837156804,0.04618860626076935,0.21474327387405148,0.39053872203813744
Rajasthan,Dausa,315,47,16,0,1,2019-20,Dausa,109.0,exact,1634409.0,19.273021624330262,2.8756571947413407,0.9789471301247118,0.0,0.06118419563279449,0.5452681978623466,0.33191038784672616,0.5961957113327425,0.0,0.267973928190557,0.34826964504647445
Rajasthan,Dholpur,230,36,7,1,1,2019-20,Dholpur,106.0,exact,1206516.0,19.06315374184843,2.9837979769849716,0.5801829399693,0.08288327713847143,0.08288327713847143,0.5393306607028597,0.34601823697430845,0.3533414317829941,0.0390396121283652,0.36301134837830584,0.32814825799336667
Rajasthan,Dungarpur,349,59,15,1,1,2019-20,Dungarpur,124.0,exact,1388552.0,25.134096526453455,4.24903064487322,1.0802620283575983,0.07201746855717323,0.07201746855717323,0.711088473048594,0.5110781821635532,0.6578982343411763,0.033921608025242606,0.31542138861202174,0.4458815772381176
Rajasthan,Ganganagar,415,62,18,0,1,2019-20,Ganganagar,99.0,exact,1969168.0,21.074890512135074,3.1485378596442763,0.9140916366709189,0.0,0.050782868703939936,0.5962462863213586,0.36750990146603585,0.5566975955881321,0.0,0.2224183005208291,0.34857441677927115
Rajasthan,Hanumangarh,361,59,16,0,1,2019-20,Hanumangarh,100.0,exact,1774692.0,20.341557859053854,3.3245205365212667,0.9015648912600045,0.0,0.05634780570375028,0.5754989960430961,0.39046828037673453,0.5490685912618282,0.0,0.24679155594322846,0.3523654847249774
Rajasthan,Jaipur,617,207,34,1,0,2019-20,Jaipur,110.0,exact,6626178.0,9.311551847837471,3.123972824152928,0.5131163092811573,0.015091656155328155,0.0,0.2634404295464789,0.3643051917595268,0.31249669527029417,0.007108459305902539,0.0,0.18947015517644047
Rajasthan,Jaisalmer,157,31,8,0,1,2019-20,Jaisalmer,114.0,exact,669919.0,23.435669088352473,4.627425106617367,1.1941742210625463,0.0,0.1492717776328183,0.6630369279185778,0.560442833188292,0.7272727272727273,0.0,0.6537790389584412,0.5209063054676076
Rajasthan,Jalore,407,72,11,0,1,2019-20,Jalore,116.0,exact,1828730.0,22.255882497689655,3.937158574529865,0.601510337775396,0.0,0.054682757979581456,0.6296586585069576,0.4703919209379008,0.3663301854292323,0.0,0.23949899657139107,0.34117595228909636
Rajasthan,Jhalawar,323,48,14,0,0,2019-20,Jhalawar,129.0,exact,1411129.0,22.889473605885783,3.401531681370024,0.9921134070662568,0.0,0.0,0.6475840823705193,0.4005150138118687,0.6042142014076542,0.0,0.0,0.33046265951800846
Rajasthan,Jhunjhunu,592,116,26,0,1,2019-20,Jhunjhunu,103.0,exact,2137045.0,27.701803190854662,5.42805603064044,1.2166332482469953,0.0,0.046793586471038276,0.7837334797749763,0.6648916826292671,0.7409506627567081,0.0,0.20494608208998874,0.47890438145018804
Rajasthan,Jodhpur,653,111,27,0,0,2019-20,Jodhpur,113.0,exact,3687165.0,17.710083492330828,3.0104429826167256,0.7322699146905549,0.0,0.0,0.5010498871471325,0.3494942957900241,0.4459650263450744,0.0,0.0,0.2593018418564462
Rajasthan,Karauli,278,40,11,1,1,2019-20,Karauli,107.0,exact,1458248.0,19.06397265760008,2.743017648575551,0.7543298533582765,0.06857544121438877,0.06857544121438877,0.5393538292918234,0.31460647468062597,0.45939991002902114,0.03230034717460039,0.3003460316763678,0.32920131857048773
