state,district,sub_centres,phcs,chcs,sub_divisional_hospital,district_hospital,year
Uttar Pradesh,Jyotiba Phule Nagar,175,32,8,0,2,2019-20
Uttar Pradesh,Kannauj,191,34,11,0,2,2019-20
Uttar Pradesh,Kanpur Dehat,240,31,8,0,2,2019-20
Uttar Pradesh,Kanpur Nagar,390,90,10,0,5,2019-20
Uttar Pradesh,Kashi Ram Nagar,170,31,7,0,1,2019-20
Uttar Pradesh,Kaushambi,175,36,5,0,1,2019-20
Uttar Pradesh,Kushinagar,368,57,16,0,1,2019-20
Uttar Pradesh,Lakhimpur Kheri,386,60,14,0,2,2019-20
Uttar Pradesh,Lalitpur,197,27,4,0,2,2019-20
Uttar Pradesh,Lucknow,306,80,17,0,9,2019-20
Uttar Pradesh,Maharajganj,291,40,12,0,1,2019-20
Uttar Pradesh,Mahoba,150,17,4,0,2,2019-20
Uttar Pradesh,Mainpuri,206,46,10,0,2,2019-20
Uttar Pradesh,Mathura,205,37,7,0,3,2019-20
Uttar Pradesh,Maunathbhanjan,225,43,6,0,2,2019-20
Uttar Pradesh,Meerut,280,57,12,0,2,2019-20
Uttar Pradesh,Mirzapur,263,38,16,0,2,2019-20
Uttar Pradesh,Moradabad,267,60,7,0,2,2019-20
Uttar Pradesh,Muzaffarnagar,286,49,4,0,2,2019-20
Uttar Pradesh,Pilibhit,199,28,6,0,2,2019-20
Uttar Pradesh,Pratapgarh,355,60,19,0,2,2019-20
Uttar Pradesh,Rae Bareli,352,51,17,0,2,2019-20
Uttar Pradesh,Rampur,211,35,5,0,2,2019-20
Uttar Pradesh,Saharanpur,364,62,14,0,2,2019-20
Uttar Pradesh,Sambhal,214,31,9,0,1,2019-20
Uttar Pradesh,Sant Kabir Nagar,185,23,4,0,1,2019-20
Uttar Pradesh,Sant Ravidas Nagar,161,17,6,0,2,2019-20
Uttar Pradesh,Shahjahanpur,298,46,17,0,2,2019-20
Uttar Pradesh,Shamli,135,26,7,0,0,2019-20
